----- step=1180000: nr=1296 (1032), hr=14 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9756 (2245)  (tn=80640, r=4703)
----- step=1190000: nr=1243 (986), hr=11 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9664 (2242)  (tn=80640, r=4525)
----- step=1200000: nr=1255 (1037), hr=13 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9538 (2287)  (tn=80640, r=4691)
----- step=1210000: nr=1207 (944), hr=15 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9639 (2128)  (tn=80640, r=4934)
----- step=1220000: nr=1254 (1021), hr=14 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9702 (2297)  (tn=80640, r=4700)
----- step=1230000: nr=1206 (1017), hr=16 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9636 (2274)  (tn=80640, r=4689)
----- step=1240000: nr=1261 (1020), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9765 (2238)  (tn=80640, r=4258)
----- step=1250000: nr=1167 (912), hr=13 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9678 (2176)  (tn=80640, r=4653)
----- step=1260000: nr=1268 (980), hr=11 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9650 (2233)  (tn=80640, r=4481)
----- step=1270000: nr=1216 (955), hr=12 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9678 (2170)  (tn=80640, r=4385)
----- step=1280000: nr=1260 (981), hr=15 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9660 (2158)  (tn=80640, r=4432)
----- step=1290000: nr=1283 (983), hr=12 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9793 (2170)  (tn=80640, r=4044)
----- step=1300000: nr=1266 (958), hr=13 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9777 (2154)  (tn=80640, r=4122)
----- step=1310000: nr=1229 (952), hr=19 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9778 (2136)  (tn=80640, r=4230)
----- step=1320000: nr=1275 (1020), hr=16 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9744 (2217)  (tn=80640, r=4193)
----- step=1330000: nr=1235 (999), hr=11 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9811 (2248)  (tn=80640, r=4080)
----- step=1340000: nr=1253 (1048), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9718 (2362)  (tn=80640, r=4202)
----- step=1350000: nr=1125 (885), hr=16 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9742 (2092)  (tn=80640, r=4986)
----- step=1360000: nr=1212 (1020), hr=21 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9610 (2302)  (tn=80640, r=5105)
----- step=1370000: nr=1145 (890), hr=19 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9743 (2081)  (tn=80640, r=5219)
----- step=1380000: nr=1214 (925), hr=9 (3), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9809 (2100)  (tn=80640, r=5116)
----- step=1390000: nr=1172 (900), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9876 (2057)  (tn=80640, r=4865)
----- step=1400000: nr=1260 (953), hr=20 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9841 (2152)  (tn=80640, r=4961)
----- step=1410000: nr=1230 (910), hr=17 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9873 (2082)  (tn=80640, r=4609)
