step=1220000: nr=1270 (1003), hr=14 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9561 (2237)  (tn=80640, r=4742)
step=1230000: nr=1296 (1076), hr=20 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9449 (2337)  (tn=80640, r=5329)
step=1240000: nr=1329 (1057), hr=15 (9), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9397 (2397)  (tn=80640, r=4967)
step=1250000: nr=1278 (1001), hr=14 (8), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9457 (2169)  (tn=80640, r=5003)
step=1260000: nr=1208 (1007), hr=21 (12), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9389 (2265)  (tn=80640, r=5037)
step=1270000: nr=1264 (1034), hr=14 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9457 (2247)  (tn=80640, r=4682)
step=1280000: nr=1206 (993), hr=10 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9576 (2250)  (tn=80640, r=4507)
step=1290000: nr=1201 (964), hr=17 (5), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9591 (2210)  (tn=80640, r=4811)
step=1300000: nr=1245 (1013), hr=12 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9633 (2305)  (tn=80640, r=4488)
step=1310000: nr=1264 (1029), hr=12 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9588 (2266)  (tn=80640, r=4810)
step=1320000: nr=1188 (941), hr=12 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9523 (2133)  (tn=80640, r=4984)
step=1330000: nr=1191 (986), hr=7 (6), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9505 (2190)  (tn=80640, r=5108)
step=1340000: nr=1151 (952), hr=9 (7), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9537 (2183)  (tn=80640, r=4888)
step=1350000: nr=1150 (948), hr=3 (2), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9663 (2153)  (tn=80640, r=4970)
step=1360000: nr=1174 (989), hr=10 (4), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9541 (2259)  (tn=80640, r=5074)
